Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Weather,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
54,16,Suburban,Regular,8,4.5,Night,Premium,67,266.0685899,Sunny,-73.994554,40.721011,-73.989079,40.722964
59,37,Rural,Silver,86,4.67,Evening,Premium,95,340.1282671,Sunny,-73.990968,40.72757,-73.99137,40.74472
72,43,Suburban,Gold,28,4.87,Night,Economy,132,443.2581554,Sunny,-74.013173,40.704148,-73.984285,40.754962
47,9,Rural,Gold,49,4.44,Afternoon,Economy,96,265.0552744,Rainy,-73.995721,40.767201,-73.951222,40.723918
32,22,Rural,Silver,49,4.65,Evening,Economy,60,221.4343855,Cloudy,-74.010142,40.719717,-74.013625,40.702315
45,13,Rural,Regular,96,4.84,Evening,Economy,112,393.2308288,Cloudy,-73.981496,40.768334,-73.956104,40.804763
72,45,Urban,Silver,82,4.42,Evening,Premium,40,151.5804041,Rainy,-73.94984,40.796042,-73.962738,40.759112
56,15,Urban,Gold,34,4.72,Evening,Premium,78,313.9950046,Sunny,-73.986989,40.7208,-73.976607,40.722857
42,22,Rural,Silver,67,3.81,Night,Premium,82,366.1515261,Sunny,-73.96671295,40.80403519,-73.93840027,40.79726791
52,14,Suburban,Silver,87,3.54,Night,Premium,98,425.9735688,Sunny,-73.97534943,40.752491,-73.97386169,40.74888992
81,23,Urban,Gold,39,4.3,Afternoon,Economy,143,359.053128,Sunny,-73.976132,40.744211,-73.90495,40.876687
77,25,Rural,Regular,70,4.27,Night,Premium,52,260.3441798,Rainy,-73.982543,40.731653,-73.954875,40.768787
27,6,Urban,Gold,2,4.42,Evening,Economy,86,320.3017092,Cloudy,-73.975058,40.78882,-73.975058,40.78882
74,34,Rural,Regular,18,4.66,Night,Premium,140,454.4921215,Sunny,-73.987383,40.721255,-73.954733,40.730683
92,69,Urban,Silver,88,4.69,Night,Economy,18,45.1150237,Cloudy,-73.971503,40.760135,-73.961437,40.768975
77,34,Rural,Gold,33,4.13,Evening,Premium,48,223.6621143,Rainy,-73.98192,40.761172,-74.016152,40.704765
66,6,Rural,Regular,23,4.2,Afternoon,Economy,45,173.1577543,Sunny,-74.008325,40.725947,-73.988232,40.720322
77,39,Urban,Regular,23,4.29,Night,Economy,167,592.2404996,Rainy,-73.992605,40.733957,-73.980698,40.742135
35,16,Urban,Regular,31,4.75,Night,Premium,113,379.3078104,Sunny,-73.986465,40.755052,-73.996115,40.744817
48,38,Rural,Gold,40,3.7,Afternoon,Premium,80,360.7111703,Cloudy,-73.95771,40.765555,-73.970059,40.762758
61,18,Rural,Gold,84,3.93,Afternoon,Premium,58,203.4926184,Sunny,0,0,0,0
71,21,Suburban,Silver,82,4.88,Night,Premium,126,553.5451308,Rainy,-73.976459,40.744077,-73.983699,40.734203
95,7,Rural,Gold,40,4.68,Afternoon,Economy,95,283.4664425,Cloudy,-73.950582,40.786452,-73.9575,40.776686
76,44,Suburban,Gold,20,3.56,Night,Premium,105,435.1453451,Cloudy,-73.9784317,40.75239944,-74.00042725,40.74211884
32,13,Suburban,Regular,21,4.64,Night,Economy,156,685.7681265,Sunny,-73.990055,40.756413,-73.983047,40.756727
49,30,Rural,Silver,57,4.83,Afternoon,Economy,154,630.8608869,Cloudy,-73.982326,40.731314,-73.989649,40.734398
38,17,Urban,Silver,92,4.41,Night,Premium,138,546.1568748,Cloudy,-73.995888,40.759078,-73.865005,40.770452
92,35,Suburban,Regular,46,4.72,Night,Economy,45,115.3570025,Rainy,-73.990137,40.756007,-73.929361,40.774553
40,29,Suburban,Silver,26,4.26,Evening,Economy,152,404.0498951,Sunny,-73.95828,40.7689,-73.97351,40.782907
55,42,Suburban,Silver,24,4.49,Night,Economy,45,156.0383299,Sunny,-73.977633,40.753166,-73.981589,40.757359
58,34,Rural,Gold,19,4.55,Night,Premium,131,501.2629551,Sunny,-73.962218,40.640218,-73.968043,40.640505
34,5,Urban,Regular,26,4.85,Afternoon,Premium,152,562.4369765,Cloudy,-74.000545,40.737462,-74.009545,40.713217
70,47,Suburban,Silver,3,3.66,Night,Premium,53,216.8024751,Sunny,-73.86270142,40.76895905,-73.9990921,40.74182892
51,24,Rural,Gold,25,4.68,Night,Premium,16,120.0906902,Rainy,-73.984463,40.742792,-73.97735,40.761375
88,56,Rural,Regular,11,4.36,Night,Economy,60,221.1576533,Sunny,-73.95018768,40.7192955,-73.94046021,40.72421265
25,8,Suburban,Silver,83,3.53,Afternoon,Economy,121,492.7012709,Rainy,-73.988752,40.758687,-73.98508,40.773772
34,19,Rural,Regular,51,4.2,Evening,Premium,166,754.23448,Cloudy,-73.984218,40.732007,-73.979443,40.727617
40,15,Urban,Regular,90,3.62,Evening,Premium,42,211.5277288,Rainy,-73.99268,40.768321,-74.00233,40.746864
26,7,Suburban,Gold,58,4.91,Night,Economy,161,460.7592754,Rainy,-73.95474243,40.68746948,-73.98821259,40.73051071
81,42,Suburban,Regular,88,4.14,Night,Economy,47,164.1074735,Cloudy,-73.988433,40.737176,-73.981018,40.747329
80,56,Suburban,Gold,63,4.57,Evening,Premium,43,213.696213,Sunny,-73.964187,40.757303,-73.983382,40.743835
64,19,Rural,Gold,86,4.68,Evening,Premium,171,732.9893961,Cloudy,-73.776743,40.645374,-73.913408,40.745943
45,18,Rural,Gold,68,4.07,Night,Economy,136,350.6012026,Rainy,-73.997893,40.735897,-74.006543,40.746245
84,49,Urban,Regular,32,4.25,Evening,Premium,53,192.8798062,Sunny,-73.985758,40.753255,-73.98142,40.746513
34,16,Urban,Silver,47,4.12,Afternoon,Economy,93,294.1158059,Cloudy,-73.9956,40.754782,-74.002493,40.734401
67,32,Suburban,Regular,40,4.47,Night,Premium,13,82.52418775,Cloudy,-73.976022,40.76004,-73.982853,40.74504
93,23,Suburban,Silver,34,4.23,Afternoon,Premium,125,386.1690694,Sunny,-73.988604,40.778445,-73.994931,40.749954
100,51,Urban,Silver,56,3.58,Evening,Economy,89,310.9003273,Rainy,-73.997975,40.720503,-74.001847,40.737797
35,22,Suburban,Gold,15,4.23,Night,Premium,120,373.9628407,Sunny,0,0,0,0
36,13,Rural,Silver,31,4.71,Evening,Economy,71,221.5511001,Rainy,-74.006395,40.749657,-73.978468,40.753897
28,18,Suburban,Regular,100,3.7,Night,Economy,127,531.112701,Cloudy,-73.990318,40.737122,-73.97627,40.744955
21,9,Urban,Gold,10,3.88,Night,Premium,108,324.9426389,Cloudy,-73.982613,40.771843,-73.978862,40.754318
26,15,Urban,Regular,35,5,Night,Premium,161,493.4068923,Rainy,-73.980253,40.765255,-73.974253,40.731925
97,21,Suburban,Regular,59,3.87,Afternoon,Premium,174,778.633356,Rainy,-73.954797,40.767289,-73.974788,40.754888
26,15,Urban,Silver,10,3.71,Night,Premium,171,720.1572086,Cloudy,-73.956158,40.781593,-73.966138,40.773645
91,56,Urban,Gold,17,4.66,Evening,Economy,10,38.23523524,Cloudy,-73.991201,40.750336,-73.977786,40.75239
65,48,Rural,Silver,12,4.37,Night,Premium,140,573.5891065,Sunny,-73.975132,40.73302,-73.977113,40.752058
88,28,Urban,Gold,22,4.99,Evening,Premium,154,682.016247,Sunny,-73.995627,40.749295,-73.965087,40.77161
82,13,Suburban,Gold,32,3.58,Evening,Economy,148,516.4367273,Cloudy,-73.985523,40.760627,-73.989185,40.774452
65,40,Urban,Silver,48,3.59,Afternoon,Economy,121,492.5196024,Rainy,-74.00299072,40.73112869,-74.00541687,40.74004364
41,6,Urban,Silver,56,4.32,Evening,Economy,11,49.234784,Rainy,-73.962497,40.76308,-73.98472,40.736343
85,36,Rural,Silver,64,4.32,Afternoon,Economy,152,506.6928861,Rainy,0,0,0,0
35,13,Rural,Silver,80,3.8,Night,Economy,93,304.3133395,Cloudy,-74.001561,40.735996,-73.986623,40.74737
83,29,Urban,Silver,78,4.42,Night,Premium,23,111.1793412,Cloudy,-74.008055,40.711553,-73.997185,40.679587
91,31,Urban,Regular,12,4.39,Evening,Economy,39,163.2145833,Cloudy,-73.978163,40.74563,-73.952042,40.773192
44,28,Rural,Regular,31,4.92,Evening,Premium,132,402.8569895,Rainy,-73.994126,40.750917,-73.949428,40.781336
96,12,Suburban,Gold,15,4.97,Evening,Economy,90,289.2351909,Sunny,-73.98861694,40.74912643,-73.95635986,40.74752045
77,46,Suburban,Regular,97,4.2,Night,Premium,25,150.5392948,Cloudy,-74.010698,40.710985,-73.991138,40.750717
91,80,Rural,Gold,74,4.74,Evening,Economy,46,194.9355593,Cloudy,-73.976543,40.788207,-73.954575,40.777842
93,42,Rural,Silver,75,4.66,Night,Economy,160,674.6485036,Sunny,-74.0065918,40.74441147,-73.9863739,40.74319077
41,9,Rural,Silver,73,3.51,Night,Economy,150,551.557234,Rainy,-73.965744,40.754379,-73.9672,40.765067
61,44,Suburban,Regular,69,4.54,Night,Economy,52,132.2147646,Cloudy,-73.99436951,40.7466774,-73.97766876,40.73911667
83,10,Urban,Gold,28,3.91,Night,Economy,23,70.11182411,Rainy,-73.944435,40.778137,-73.980463,40.782295
59,22,Rural,Regular,79,4.38,Night,Premium,93,346.2847096,Sunny,-73.86276245,40.7687912,-73.97873688,40.75304031
42,31,Suburban,Gold,62,4.95,Evening,Premium,13,102.0447303,Rainy,-73.968942,40.785745,-73.963131,40.774204
81,16,Suburban,Regular,73,4.89,Evening,Economy,125,494.1401793,Rainy,-73.98103333,40.75872803,-73.95498657,40.73442078
72,19,Rural,Gold,89,4.74,Night,Premium,45,183.6583147,Cloudy,-73.98799133,40.7493782,-73.98880768,40.75851822
43,9,Rural,Silver,2,4.12,Night,Economy,126,436.5576476,Sunny,-73.991377,40.70255,-73.999735,40.734407
74,33,Urban,Silver,82,4.13,Night,Economy,10,31.36208132,Rainy,-73.987152,40.750756,-73.90238,40.741637
68,45,Rural,Silver,65,4.19,Afternoon,Economy,112,323.4791093,Sunny,-73.974978,40.762812,-73.981365,40.756102
36,13,Urban,Silver,84,4.88,Afternoon,Premium,140,505.3840569,Cloudy,-73.992956,40.754508,-73.999118,40.722575
51,5,Urban,Gold,0,4.59,Night,Premium,92,320.8576216,Cloudy,-74.00662,40.704113,-74.009975,40.735007
63,23,Urban,Silver,48,4.09,Afternoon,Economy,49,214.5660524,Rainy,-73.94662476,40.77677917,-73.95352936,40.77990723
96,29,Urban,Regular,84,3.65,Evening,Economy,176,758.5015334,Sunny,-73.976452,40.780742,-73.980342,40.770673
94,59,Suburban,Regular,84,4.38,Night,Premium,175,665.7295341,Rainy,-73.968681,40.754807,-73.97859,40.756029
74,32,Suburban,Regular,2,4.7,Afternoon,Premium,38,171.0663629,Rainy,-73.958542,40.780734,-73.975443,40.777022
91,13,Rural,Silver,32,3.6,Night,Premium,160,647.3526381,Rainy,-73.980351,40.780344,-73.980011,40.785561
69,12,Suburban,Regular,42,4.34,Night,Premium,158,608.12824,Sunny,-74.015122,40.715795,-74.008495,40.72814
51,20,Rural,Silver,57,3.68,Evening,Economy,67,246.9229249,Cloudy,-73.97647,40.735987,-73.981563,40.728817
45,17,Rural,Gold,10,4.93,Evening,Premium,148,430.0665305,Sunny,-73.954282,40.764102,-73.973425,40.782708
92,34,Suburban,Regular,98,3.99,Evening,Economy,140,396.6387527,Rainy,-73.8709,40.7738,-73.981742,40.767455
69,36,Suburban,Gold,55,4.74,Night,Economy,109,436.0114486,Cloudy,-73.985129,40.778954,-73.980585,40.765687
56,14,Suburban,Silver,30,3.67,Evening,Economy,48,202.9454569,Rainy,-73.98349,40.765833,-73.961351,40.768866
43,26,Rural,Regular,59,4.91,Night,Economy,175,731.7816872,Cloudy,-73.988536,40.753911,-73.989873,40.726236
86,48,Urban,Silver,37,4.15,Evening,Economy,84,216.0505481,Cloudy,-73.992937,40.75778,-73.992937,40.75778
61,34,Urban,Gold,82,3.99,Evening,Premium,10,83.8683562,Cloudy,-73.992667,40.753087,-73.986788,40.761582
50,36,Suburban,Gold,18,4.61,Evening,Economy,145,572.2420493,Sunny,-73.997222,40.763667,-74.010617,40.730022
73,34,Urban,Regular,95,4.31,Night,Premium,21,118.8070474,Cloudy,0.001782,0.00738,0.000875,0.00567
76,7,Urban,Gold,76,4.35,Night,Economy,72,245.8935712,Cloudy,-73.97274,40.798322,-73.961262,40.806462
87,41,Urban,Regular,87,4.36,Evening,Economy,87,387.1117403,Cloudy,-73.989391,40.752278,-73.972785,40.74995
53,33,Rural,Regular,40,3.8,Night,Premium,139,507.9505747,Rainy,-73.98402405,40.72166061,-74.01074982,40.71681213
71,8,Suburban,Silver,57,3.68,Evening,Economy,75,249.3029746,Cloudy,-74.00408173,40.74240112,-73.98440552,40.74317169
32,5,Rural,Gold,80,3.55,Evening,Economy,14,45.91711193,Cloudy,-73.974445,40.764015,-73.983595,40.744184
91,30,Suburban,Gold,34,3.69,Night,Economy,96,424.6120578,Rainy,-74.007912,40.73873,-73.977505,40.761727
47,37,Suburban,Gold,64,3.75,Night,Economy,31,85.9735753,Rainy,-74.00211334,40.75183868,-73.99172211,40.7264595
23,13,Rural,Silver,42,4.55,Evening,Economy,87,328.9669926,Cloudy,-73.995759,40.759149,-73.991388,40.750227
57,20,Rural,Regular,92,3.74,Night,Economy,53,172.6294341,Cloudy,-73.985623,40.763017,-74.009812,40.719408
48,17,Suburban,Silver,2,4.09,Afternoon,Economy,85,261.9435329,Cloudy,-73.98212433,40.75581741,-73.9708252,40.75574875
22,5,Urban,Gold,39,4.92,Afternoon,Economy,56,199.0416803,Sunny,-73.977147,40.789653,-73.954115,40.773782
60,19,Urban,Silver,37,4.22,Afternoon,Economy,68,232.2834549,Rainy,-73.981387,40.758807,-73.947467,40.779305
94,42,Rural,Regular,0,4.23,Night,Premium,36,185.3118381,Rainy,-73.983363,40.744282,-73.973965,40.795451
43,6,Suburban,Silver,34,4.4,Night,Premium,24,153.7614397,Cloudy,-73.97287,40.76444,-73.98842,40.76914
97,18,Suburban,Regular,53,4.25,Evening,Premium,26,126.4771353,Cloudy,-73.96995544,40.78917694,-73.94616699,40.77772903
47,17,Rural,Silver,7,4.8,Night,Economy,173,609.5038276,Cloudy,-73.98613,40.763425,-73.977522,40.765007
39,28,Urban,Silver,72,3.76,Night,Premium,87,287.1624376,Cloudy,-73.96494,40.775277,-73.975652,40.791703
50,39,Suburban,Regular,94,3.81,Afternoon,Premium,139,406.3248065,Sunny,-73.954252,40.7665,-73.989683,40.736847
35,17,Urban,Regular,78,4.4,Afternoon,Premium,61,249.0371127,Sunny,-73.965344,40.806353,-73.976358,40.750622
28,8,Suburban,Regular,69,3.86,Afternoon,Premium,175,620.9016916,Cloudy,-73.982563,40.727365,-73.953233,40.777548
51,32,Rural,Regular,98,4.44,Night,Premium,51,267.0607017,Rainy,-73.995027,40.744631,-74.000213,40.7352
54,12,Suburban,Silver,84,4.98,Afternoon,Premium,172,715.7547931,Cloudy,-74.001113,40.741735,-73.998253,40.745095
65,10,Urban,Regular,77,4.36,Night,Economy,170,430.3854879,Sunny,-73.963411,40.798469,-74.000779,40.729345
61,26,Rural,Gold,21,3.85,Night,Premium,126,604.273047,Sunny,-73.981785,40.763397,-74.004152,40.742437
46,9,Suburban,Silver,67,4.22,Afternoon,Premium,47,243.5250632,Cloudy,-73.972497,40.75278,-73.95885,40.763898
73,50,Urban,Regular,7,4.22,Evening,Economy,45,176.2144067,Sunny,-74.005477,40.738575,-73.972722,40.756735
86,49,Urban,Regular,99,3.51,Evening,Economy,130,471.4796321,Rainy,-73.981558,40.783752,-73.900931,40.893366
75,7,Suburban,Gold,100,4.13,Night,Economy,134,453.3769494,Rainy,-73.96593,40.805358,-73.949923,40.778868
39,29,Suburban,Silver,12,4.24,Afternoon,Economy,97,251.1073065,Rainy,-73.95208,40.790119,-73.963637,40.79809
33,6,Rural,Gold,90,4.81,Evening,Premium,139,521.8019208,Rainy,-74.00019,40.718336,-73.956801,40.764745
40,29,Suburban,Silver,6,4.94,Evening,Premium,71,346.4926515,Sunny,-73.965017,40.764308,-73.981057,40.760887
54,35,Suburban,Silver,66,4.4,Evening,Economy,77,234.0714535,Rainy,-73.984784,40.736512,-73.976727,40.751746
53,26,Urban,Gold,54,4.6,Evening,Premium,52,184.0244513,Rainy,-73.863088,40.769212,-73.95195,40.729382
81,34,Urban,Silver,98,3.55,Night,Premium,164,554.8869659,Sunny,-74.00921,40.706383,-74.009173,40.716762
45,20,Urban,Regular,80,4.73,Night,Economy,63,192.6197724,Rainy,-73.971663,40.757812,-73.789273,40.64179
20,9,Urban,Silver,77,3.91,Afternoon,Economy,89,227.7965248,Rainy,-73.990166,40.756562,-73.923268,40.825475
47,22,Rural,Silver,11,4.8,Night,Premium,119,416.601649,Rainy,-74.001563,40.739345,-74.008126,40.723898
33,18,Urban,Gold,90,3.61,Afternoon,Premium,146,671.7128294,Cloudy,-73.974302,40.761193,-73.971943,40.759643
78,57,Rural,Silver,5,4.82,Night,Premium,127,552.6397714,Rainy,-73.985698,40.748747,-73.974357,40.744135
26,12,Rural,Silver,9,3.75,Night,Economy,115,321.3724051,Cloudy,-73.978788,40.755519,-73.975802,40.765463
62,21,Rural,Regular,61,4.57,Evening,Economy,56,215.4338699,Cloudy,-73.959753,40.777137,-73.966547,40.804235
84,59,Suburban,Silver,67,4.27,Night,Premium,164,758.9961232,Rainy,-73.959427,40.774613,-73.952647,40.780213
49,8,Urban,Regular,1,4.06,Night,Premium,157,694.4247149,Rainy,-73.99208069,40.75920868,-73.98408508,40.78045654
34,22,Suburban,Gold,34,3.64,Night,Economy,176,617.3632185,Cloudy,-73.995559,40.695197,-73.974702,40.687741
49,30,Rural,Silver,86,3.62,Night,Premium,69,328.635369,Sunny,-73.97411,40.750564,-73.88238,40.755801
83,50,Rural,Regular,7,3.66,Afternoon,Premium,100,376.3000601,Rainy,-73.959091,40.799481,-73.967406,40.802026
88,5,Urban,Silver,89,3.59,Evening,Economy,27,70.20380337,Sunny,-73.9773,40.7519,-74.0125,40.7015
90,71,Suburban,Gold,88,3.84,Night,Economy,167,451.684865,Rainy,-73.934317,40.797407,-73.917871,40.807013
65,5,Rural,Silver,24,3.54,Evening,Economy,119,301.4039268,Rainy,-74.012526,40.707816,-73.987547,40.744759
73,28,Urban,Silver,22,4.57,Night,Economy,53,153.3960711,Rainy,-74.007392,40.733257,-73.987243,40.729388
85,62,Suburban,Silver,54,3.78,Night,Economy,114,339.6623042,Cloudy,-73.978083,40.788452,-73.979435,40.771332
65,27,Rural,Gold,62,3.54,Evening,Premium,162,733.4425367,Rainy,-73.99119,40.750195,-74.006843,40.705932
